 Date,Type,Description,Credit,Debit,Balance
14/07/2025,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),2542.35,0,136107.41
10/07/2025,DEPOSIT,Distribution from Macquarie True Index Australian Fixed Interest Fund (MAQ0211AU),2102.86,0,133565.06
7/07/2025,DEPOSIT,Distribution from UBS JBWere International Credit Fund (UBS0487AU),611.21,0,131462.2
7/07/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),274.41,0,130850.99
30/06/2025,DEPOSIT,Distribution from Partners Group Global Value Fund (AUD) - Wholesale Units (ETL0276AU),291.3,0,130576.58
30/06/2025,GROSS_INTEREST,Interest,96.38,0,130285.28
27/06/2025,DEPOSIT,"Sold 30,770 L1 LONG SHORT FUND LIMITED, ORDINARY $2.86 [ASX] 25-JUN-2025 Ref: 33970710",88002.2,0,130188.9
23/06/2025,WITHDRAWAL,Ramsay Super Corp Pty Ltd ATF Ramsay Family Superannuation Fund A/C,0,27600,42186.7
23/06/2025,WITHDRAWAL,Ramsay Super Corp Pty Ltd ATF Ramsay Family Superannuation Fund A/C,0,7200,69786.7
23/06/2025,DEPOSIT,"Sold 29,530.977836 Payden Global Income Opportunities Fund 1.078900 [MGDFUND] 16-JUN-2025 Ref: 33937530",31860.97,0,76986.7
20/06/2025,DEPOSIT,"Sold 28,793.529961 Brandywine Gbl Opportunistic Fixed Inc Fnd - Class A 1.080800 [MGDFUND] 16-JUN-2025 Ref: 33929840",31120.05,0,45125.73
13/06/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),697.46,0,14005.68
6/06/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),258.48,0,13308.22
30/05/2025,GROSS_INTEREST,Interest,56.83,0,13049.74
19/05/2025,DEPOSIT,Distribution from HAMILTON LANE GLOBAL PRIVATE ASSETS FUND (AUD) (Hedged) (PIM1015AU),413.58,0,12992.91
15/05/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),688.49,0,12579.33
14/05/2025,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),74.01,0,11890.84
12/05/2025,DEPOSIT,Distribution from Palisade's Unlisted Infrastructure Trust (WHT3724AU),161.65,0,11816.83
7/05/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),279.51,0,11655.18
6/05/2025,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),21.78,0,11375.67
6/05/2025,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),31.72,0,11353.89
6/05/2025,WITHDRAWAL,To Nomad WEST,0,30000,11322.17
30/04/2025,GROSS_INTEREST,Interest,132.32,0,41322.17
29/04/2025,DEPOSIT,Distribution from ATLAS Infrastructure Australian Feeder Fund -  AUD Unhedged (PIM6769AU),74.22,0,41189.85
28/04/2025,DEPOSIT,Distribution from Brandywine Gbl Opportunistic Fixed Inc Fnd - Class A (SSB0014AU),18.38,0,41115.63
23/04/2025,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),48.72,0,41097.25
17/04/2025,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),691.6,0,41048.53
16/04/2025,WITHDRAWAL,MAR-25 QTR MAP Private Wealth - Invoice 224698,0,5362.56,40356.93
15/04/2025,DEPOSIT,Distribution from Payden Global Income Opportunities Fund (GSF0008AU),23.56,0,45719.49
14/04/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),693.11,0,45695.93
11/04/2025,DEPOSIT,Distribution from Macquarie True Index Australian Fixed Interest Fund (MAQ0211AU),891.01,0,45002.82
11/04/2025,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),863.86,0,44111.81
11/04/2025,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),29.22,0,43247.95
10/04/2025,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),248.26,0,43218.73
8/04/2025,DEPOSIT,Distribution from Payden Global Income Opportunities Fund (GSF0008AU),2.78,0,42970.47
8/04/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),244.44,0,42967.69
8/04/2025,DEPOSIT,Distribution from UBS JBWere International Credit Fund (UBS0487AU),125.74,0,42723.25
7/04/2025,DIRECT_CREDIT_DIVIDEND,"DIVIDEND From LSF, Ref: 001335610953",2338.31,0,42597.51
31/03/2025,GROSS_INTEREST,Interest,116.6,0,40259.2
18/03/2025,DEPOSIT,Distribution from Partners Group Global Value Fund (AUD) - Wholesale Units (ETL0276AU),290.91,0,40142.6
17/03/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),702.08,0,39851.69
17/03/2025,DEPOSIT,"Sold 16,791.201400 Kapstream Wholesale Absolute Return Income Fund 1.191100 [MGDFUND] 11-MAR-2025 Ref: 33042088",20000,0,39149.61
14/03/2025,DEPOSIT,Sold 32.427387 PIMCO Global Credit Fund - Wholesale Class 0.896900 [MGDFUND] 11-MAR-2025 Ref: 33023726,29.09,0,19149.61
11/03/2025,WITHDRAWAL,"Bought 20,000 UBS JBWere Australian Credit Fund [MGDFUND] 11-MAR-2025 Ref: 32979748",0,20000,19120.52
7/03/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),199.98,0,39120.52
28/02/2025,GROSS_INTEREST,Interest,563.78,0,38920.54
